Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
Groww,finance,Early Stage,120000.0,Kormangala,2018,Finance $ Banking
Cell Propulsion,unknown,Early Stage,102200.0,Bangalore,2018,Other
Chezuba,internet,Angel and Grants,20440.0,Hyderabad,2018,Technology
Ontrack Technologies Pvt. Ltd,retail,Early Stage,0.0,Bangalore,2018,Other
Wealthtrust,finance,Early Stage,500000.0,Mumbai,2018,Finance $ Banking
Faclon Labs,cloud computing,Early Stage,0.0,Mumbai,2018,Other
Awign Enterprises,business development,Early Stage,730000.0,Bangalore,2018,Other
CollPoll,education,Early Stage,0.0,Bangalore,2018,Other
Zyla Health,health care,Early Stage,0.0,New Delhi,2018,Healthcare
Hubhopper,internet,Series A to Series H,500000.0,Delhi,2018,Technology
Rubix108 Technologies,information technology,Early Stage,1000000.0,Pune,2018,Technology
Workflexi,human resources,Early Stage,146000.0,Bangalore,2018,Other
Streak,financial services,Early Stage,328500.0,Bangalore,2018,Consulting & Services
Kuants,financial services,Early Stage,73000.0,Gurgaon,2018,Consulting & Services
NiYO Solutions,finance,Series A to Series H,13200000.0,Bangalore,2018,Finance $ Banking
Hippo Video,customer service,Early Stage,0.0,Chennai,2018,Other
Satvacart,e-commerce,Early Stage,0.0,Gurgaon,2018,E-Commerce & Marketplace
Daaki,health care,Angel and Grants,0.0,Bangalore,2018,Healthcare
Simulanis,training,Early Stage,500000.0,New Delhi,2018,Other
MY CHIRAAG CAB,travel,Early Stage,1000000.0,Jaipur,2018,Other
WOTU,food and beverage,Early Stage,0.0,Bangalore,2018,Food & Agriculture
